Fecha,La Teja,La Tablada,Palacio Legislativo,Bella Vista
07/04/19,48,29,54,32
08/04/19,86,74,88,59
09/04/19,79,41,62,59
10/04/19,57,29,58,48
11/04/19,26,24,44,38
12/04/19,46,29,52,34
13/04/19,37,21,44,43
14/04/19,46,31,51,35
15/04/19,33,28,39,35
16/04/19,32,26,44,61
17/04/19,46,36,51,36
18/04/19,46,34,53,38
19/04/19,25,20,46,30
20/04/19,18,16,29,30
21/04/19,ND,24,36,27
22/04/19,ND,34,39,32
23/04/19,ND,24,46,37
24/04/19,ND,24,47,45
25/04/19,ND,ND,ND,ND
26/04/19,ND,ND,ND,ND
27/04/19,ND,ND,ND,ND
28/04/19,ND,ND,ND,ND
29/04/19,ND,ND,ND,ND
30/04/19,ND,29,48,35
01/05/19,ND,27,39,27
02/05/19,ND,32,51,39
03/05/19,ND,31,51,38
04/05/19,ND,21,36,51
31/03/19,21,20,35,31
01/04/19,30,23,36,38
02/04/19,ND,29,39,46
03/04/19,ND,19,43,37
04/04/19,ND,29,36,34
05/04/19,34,22,46,34
06/04/19,40,37,50,27